City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Date
Bredasdorp,ZA,-34.53,20.04,44.6,87,1.12,99,1597645565
Cape Town,ZA,-33.93,18.42,48.99,81,9.17,20,1597645323
Camacha,PT,33.08,-16.33,71.6,83,6.93,20,1597645566
Atuona,PF,-9.8,-139.03,77.97,77,16.51,2,1597645566
Tupik,RU,54.43,119.93,60.48,52,12.08,100,1597645566
Hermanus,ZA,-34.42,19.23,44.01,91,7.45,100,1597645566
Hilo,US,19.73,-155.09,80.6,69,4.7,90,1597645567
Narsaq,GL,60.92,-46.05,44.6,70,4.7,0,1597645567
Jamestown,US,42.1,-79.24,64.0,100,3.36,90,1597645567
Bandarbeyla,SO,9.49,50.81,83.19,56,26.91,64,1597645567
Tutóia,BR,-2.76,-42.27,78.31,74,16.11,96,1597645568
Rikitea,PF,-23.12,-134.97,70.59,77,12.35,2,1597645568
Port Elizabeth,ZA,-33.92,25.57,42.8,81,4.7,88,1597645569
Storslett,NO,69.77,21.02,48.2,76,27.51,40,1597645569
Arzachena,IT,41.08,9.39,75.2,73,11.41,1,1597645570
Salalah,OM,17.02,54.09,77.0,100,4.7,90,1597645570
Husavik,IS,66.04,-17.34,48.2,93,3.36,15,1597645570
Barrow,US,71.29,-156.79,41.0,86,17.22,90,1597645570
Punta Arenas,CL,-53.15,-70.92,33.8,83,19.46,90,1597645571
Sozimskiy,RU,59.74,52.25,61.7,66,1.39,0,1597645571
Dubuque,US,42.48,-90.87,64.4,93,4.03,75,1597645571
Ngawi,ID,-7.4,111.45,94.23,37,6.93,3,1597645572
Kamaishi,JP,39.27,141.88,77.0,94,3.36,75,1597645572
Chokurdakh,RU,70.63,147.92,42.49,83,11.07,100,1597645572
Safford,US,32.83,-109.71,84.2,28,6.93,1,1597645572
Grand Gaube,MU,-20.01,57.66,75.0,67,11.01,1,1597645572
Cervo,ES,43.67,-7.41,64.0,91,9.1,100,1597645573
Pacific Grove,US,36.62,-121.92,73.4,64,4.7,1,1597645573
Vaini,TO,-21.2,-175.2,69.8,73,8.05,75,1597645573
Mataura,NZ,-46.19,168.86,44.01,86,1.01,38,1597645294
Diamantino,BR,-14.41,-56.45,75.33,37,3.36,37,1597645573
Comodoro Rivadavia,AR,-45.87,-67.5,44.6,52,19.46,10,1597645574
Paceco,IT,37.98,12.56,75.2,88,2.24,20,1597645574
Longhua,CN,23.61,114.19,92.73,50,5.39,12,1597645574
Noshiro,JP,40.2,140.02,75.2,94,4.7,75,1597645574
Necochea,AR,-38.55,-58.74,32.0,4,8.01,3,1597645575
Ushuaia,AR,-54.8,-68.3,32.0,93,6.93,75,1597645290
Marquette,US,46.53,-87.63,61.0,81,6.62,2,1597645575
Keila,EE,59.3,24.41,62.6,63,6.93,0,1597645575
Saskylakh,RU,71.92,114.08,68.72,31,4.41,57,1597645576
Udayagiri,IN,20.13,84.38,75.56,89,4.38,98,1597645576
Longyearbyen,SJ,78.22,15.64,44.6,75,3.36,75,1597645576
Avarua,CK,-21.21,-159.78,69.8,68,2.24,79,1597645576
Mar del Plata,AR,-38.0,-57.56,43.0,74,3.36,17,1597645576
Bethel,US,41.37,-73.41,61.0,93,4.47,1,1597645577
Busselton,AU,-33.65,115.33,53.01,88,7.0,82,1597645577
Galle,LK,6.04,80.22,83.32,75,11.01,57,1597645578
Gravdal,NO,68.12,13.5,50.0,71,13.87,40,1597645578
Havøysund,NO,71.0,24.66,48.2,70,18.34,40,1597645578
Pisco,PE,-13.7,-76.22,55.4,82,2.24,40,1597645578
Krasnyy Chikoy,RU,50.36,108.75,65.23,56,2.26,100,1597645580
Puerto Ayora,EC,-0.74,-90.35,63.0,91,7.87,33,1597645298
Mandalgovi,MN,45.76,106.27,71.49,37,15.43,0,1597645580
Hobart,AU,-42.88,147.33,57.0,81,9.17,75,1597645580
Kearney,US,40.7,-99.08,68.0,82,10.25,1,1597645410
Arlit,NE,18.74,7.39,87.91,34,9.37,14,1597645581
Tuktoyaktuk,CA,69.45,-133.04,51.8,93,4.7,90,1597645581
Mildura,AU,-34.2,142.15,64.4,42,17.22,34,1597645581
Atasū,KZ,48.68,71.64,75.4,28,9.06,15,1597645581
Saint Paul Harbor,US,57.79,-152.41,57.2,82,4.7,1,1597645581
Resistencia,AR,-27.46,-58.98,50.0,93,4.7,0,1597645583
Broome,US,42.25,-75.83,61.0,87,5.82,90,1597645583
Beringovskiy,RU,63.05,179.32,51.82,90,12.39,100,1597645583
Pangody,RU,65.85,74.49,54.28,86,4.32,99,1597645583
Constitución,CL,-35.33,-72.42,45.5,78,5.53,0,1597645584
Herat Province,AF,34.5,62.0,87.8,27,3.36,0,1597645584
Ngama,TD,11.78,17.17,74.14,91,7.96,86,1597645584
Nador,MA,35.17,-2.93,77.0,38,3.36,2,1597645584
Lebu,CL,-37.62,-73.65,46.6,85,8.81,64,1597645585
Inírida,CO,3.87,-67.92,73.76,97,3.31,84,1597645585
Norman Wells,CA,65.28,-126.83,51.8,87,3.36,75,1597645326
Cherskiy,RU,68.75,161.3,46.99,64,14.29,89,1597645586
Bluff,NZ,-46.6,168.33,44.01,86,1.01,45,1597645586
Namatanai,PG,-3.67,152.43,82.35,77,9.19,60,1597645586
Acaraú,BR,-2.89,-40.12,75.61,81,15.55,37,1597645586
Pangnirtung,CA,66.15,-65.71,51.06,77,4.61,87,1597645325
Sheridan,US,44.83,-106.92,64.0,48,5.82,1,1597645587
Beyneu,KZ,45.32,55.2,74.41,36,15.41,67,1597645587
São Félix do Xingu,BR,-6.64,-51.99,72.59,45,0.18,31,1597645588
Muhafazat Lahij,YE,13.17,44.58,90.55,41,4.85,78,1597645588
Lyuban',BY,52.8,28.0,67.84,76,4.81,0,1597645588
Karratha,AU,-20.74,116.85,80.85,22,10.45,0,1597645589
Saint-Joseph,RE,-21.37,55.62,77.0,50,4.7,35,1597645589
Mocuba,MZ,-16.84,36.99,74.03,70,4.27,0,1597645589
Bambous Virieux,MU,-20.34,57.76,77.0,61,18.34,20,1597645369
Kahului,US,20.89,-156.47,80.6,65,11.41,40,1597645590
Albany,US,42.6,-73.97,61.0,77,2.33,4,1597645590
Alofi,NU,-19.06,-169.92,71.6,68,14.99,75,1597645590
Sungai Penuh,ID,-2.08,101.38,74.98,81,2.73,40,1597645590
Airai,TL,-8.93,125.41,75.61,46,4.45,2,1597645591
Dikson,RU,73.51,80.55,47.23,97,0.27,99,1597645319
Ponta do Sol,PT,32.67,-17.1,73.4,73,9.17,20,1597645591
Seoul,KR,37.57,126.98,91.4,55,8.52,40,1597645339
Cockburn Town,TC,21.46,-71.14,82.49,83,13.85,70,1597645591
Souillac,MU,-20.52,57.52,77.0,61,18.34,20,1597645342
Jiazi,CN,22.88,116.07,87.35,64,9.57,30,1597645592
Khatanga,RU,71.97,102.5,71.64,53,3.47,30,1597645592
Yellowknife,CA,62.46,-114.35,53.6,76,4.7,75,1597645310
Chipiona,ES,36.74,-6.44,68.0,77,9.17,0,1597645593
Manali,IN,13.17,80.27,91.4,52,13.87,75,1597645593
Puro,PH,12.48,123.38,84.92,73,7.54,90,1597645593
Vao,NC,-22.67,167.48,70.92,87,15.46,85,1597645593
São Gabriel da Cachoeira,BR,-0.13,-67.09,73.99,93,0.83,80,1597645593
Verāval,IN,20.9,70.37,83.26,81,19.66,98,1597645594
Biltine,TD,14.53,20.92,80.65,69,6.98,96,1597645594
Chico,US,39.73,-121.84,82.99,45,5.61,1,1597645229
Çan,TR,40.03,27.05,75.2,57,20.8,20,1597645350
Kapit,MY,2.02,112.93,95.92,40,2.21,16,1597645595
Carnarvon,AU,-24.87,113.63,66.2,59,9.17,67,1597645595
Deputatsky,RU,69.3,139.9,40.89,79,5.77,100,1597645596
Ngunguru,NZ,-35.62,174.5,55.99,3,10.0,98,1597645596
Kwinana,AU,-32.25,115.77,64.0,72,17.22,75,1597645596
Krasnosel'kup,RU,65.7,82.47,66.63,73,7.27,87,1597645596
Ayagoz,KZ,47.97,80.44,83.91,17,3.65,5,1597645597
Verkhnevilyuysk,RU,63.45,120.32,65.98,37,5.86,17,1597645597
Faanui,PF,-16.48,-151.75,78.08,73,10.92,39,1597645597
Port Alfred,ZA,-33.59,26.89,51.3,61,7.67,80,1597645597
Srednekolymsk,RU,67.45,153.68,49.6,58,12.01,94,1597645597
Ampanihy,MG,-24.7,44.75,71.02,66,6.35,0,1597645598
Khunti,IN,23.08,85.28,80.6,88,5.82,40,1597645598
Castro,BR,-24.79,-50.01,59.61,96,4.52,100,1597645388
Kapaa,US,22.08,-159.32,80.6,69,10.29,75,1597645598
Lorengau,PG,-2.02,147.27,84.54,72,11.5,4,1597645598
Tuatapere,NZ,-46.13,167.68,44.01,86,1.01,55,1597645599
Mahébourg,MU,-20.41,57.7,77.0,61,18.34,20,1597645317
Makkah al Mukarramah,SA,21.43,39.83,96.78,21,6.49,63,1597645599
Butaritari,KI,3.07,172.79,81.81,61,0.11,14,1597645599
São Filipe,CV,14.9,-24.5,79.54,81,7.38,60,1597645599
Clyde River,CA,70.47,-68.59,41.0,100,17.22,90,1597645600
High Level,CA,58.52,-117.14,57.2,93,2.24,75,1597645600
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,66.2,72,11.18,40,1597645600
Cabo San Lucas,MX,22.89,-109.91,86.0,62,1.99,19,1597645601
Tabuk,PH,17.42,121.44,79.68,85,3.13,100,1597645601
Laguna,US,38.42,-121.42,87.01,51,4.7,1,1597645601
Upernavik,GL,72.79,-56.15,40.8,66,6.02,48,1597645602
Ubari,LY,26.59,12.78,82.44,21,7.0,0,1597645602
Mossamedes,AO,-15.2,12.15,60.89,90,1.88,22,1597645602
Pangai,TO,-19.8,-174.35,73.4,69,16.11,75,1597645602
East London,ZA,-33.02,27.91,50.0,51,8.05,31,1597645568
Beïnamar,TD,8.67,15.38,70.72,96,4.92,99,1597645603
Aklavik,CA,68.22,-135.01,51.8,87,3.36,90,1597645603
Vīsāvadar,IN,21.38,70.68,83.55,79,14.34,93,1597645603
Severo-Kuril'sk,RU,50.68,156.12,52.79,88,3.69,84,1597645604
Kendari,ID,-3.94,122.5,83.73,59,5.99,87,1597645604
Mana,GF,5.66,-53.78,77.9,84,8.52,100,1597645604
Oranjemund,NA,-28.55,16.43,52.47,77,13.78,0,1597645604
Hasaki,JP,35.73,140.83,97.0,66,11.41,75,1597645604
Port Moresby,PG,-9.44,147.18,84.2,62,23.04,5,1597645404
Barra do Corda,BR,-5.5,-45.25,71.64,56,4.5,1,1597645605
San Patricio,MX,19.22,-104.7,79.34,83,4.81,6,1597645306
Hargeisa,SO,9.56,44.06,74.98,53,28.74,13,1597645605
Kirakira,SB,-10.45,161.92,83.23,66,1.36,6,1597645606
Royan,FR,45.63,-1.03,64.4,100,8.05,71,1597645606
Boralday,KZ,43.36,76.86,86.0,28,6.71,40,1597645606
Kaitangata,NZ,-46.28,169.85,48.0,75,11.01,50,1597645318
Calabozo,VE,8.92,-67.43,75.07,96,4.79,100,1597645607
Cidreira,BR,-30.18,-50.21,53.91,80,3.24,37,1597645607
Mount Isa,AU,-20.73,139.5,87.8,12,8.05,0,1597645607
Kutum,SD,14.2,24.67,73.08,66,0.83,88,1597645607
College,US,64.86,-147.8,62.6,51,4.7,20,1597645608
Filingué,NE,14.35,3.32,81.91,69,14.79,97,1597645608
Yangi Marg`ilon,UZ,40.43,71.72,86.0,27,2.24,69,1597645608
Christchurch,NZ,-43.53,172.63,48.0,81,9.17,20,1597645522
Nikolskoye,RU,59.7,30.79,64.0,55,8.95,0,1597645609
Amapá,BR,1.0,-52.0,71.2,98,2.35,18,1597645609
Luanda,AO,-8.84,13.23,69.8,88,6.93,75,1597645609
Klaksvík,FO,62.23,-6.59,46.4,100,9.24,100,1597645609
Wernigerode,DE,51.83,10.78,70.0,82,3.53,76,1597645610
Torbay,CA,47.67,-52.73,57.99,76,16.11,5,1597645320
Oskaloosa,US,41.3,-92.64,69.8,77,5.82,40,1597645526
Zavyalovo,RU,54.51,82.45,75.2,57,6.71,40,1597645610
Souris,CA,49.62,-100.26,53.6,93,3.36,5,1597645611
Sartell,US,45.62,-94.21,66.0,88,5.82,75,1597645611
Hithadhoo,MV,-0.6,73.08,84.18,68,5.14,91,1597645611
Saint-Philippe,RE,-21.36,55.77,77.0,50,4.7,23,1597645611
Okha,RU,53.57,142.95,58.95,77,6.6,95,1597645612
Padang,ID,-0.95,100.35,83.5,70,7.29,14,1597645612
Saint-Augustin,CA,51.23,-58.65,60.12,61,5.01,0,1597645329
Amasya,TR,40.65,35.83,69.8,49,13.87,20,1597645612
Soverato Marina,IT,38.69,16.55,78.8,68,4.7,38,1597645612
Caravelas,BR,-17.71,-39.25,72.52,91,8.01,42,1597645342
Artyom,AZ,40.47,50.33,71.6,78,6.93,40,1597645613
Pevek,RU,69.7,170.31,36.57,99,11.59,100,1597645613
Brandfort,ZA,-28.7,26.46,32.0,64,13.71,0,1597645613
Dārāb,IR,28.75,54.54,96.91,18,4.56,2,1597645613
Umluj,SA,25.02,37.27,90.99,42,4.18,2,1597645614
Loukhi,RU,66.08,33.04,51.31,60,12.66,96,1597645614
Taoudenni,ML,22.68,-3.98,95.13,10,4.79,0,1597645614
Distrikt Brokopondo,SR,4.75,-55.17,77.56,80,4.92,84,1597645614
Kawambwa,ZM,-9.79,29.08,66.97,34,3.76,54,1597645614
Port Hedland,AU,-20.32,118.57,82.4,45,14.99,0,1597645615
Buala,SB,-8.14,159.59,82.69,73,0.6,66,1597645615
Babushkin,RU,51.71,105.86,61.2,55,5.68,0,1597645615
Arraial do Cabo,BR,-22.97,-42.03,71.02,91,10.09,75,1597645615
Kabinda,CD,-6.13,24.48,77.49,35,1.05,90,1597645616
Owando,CG,-0.48,15.9,73.87,86,5.14,100,1597645616
Lüderitz,NA,-26.65,15.16,53.06,71,18.84,0,1597645358
Pochutla,MX,15.74,-96.47,80.01,84,3.36,100,1597645616
Dalbandin,PK,28.89,64.41,100.56,19,3.67,0,1597645618
Ribeira Grande,PT,38.52,-28.7,73.4,94,24.16,75,1597645618
Talnakh,RU,69.49,88.4,73.4,38,15.66,47,1597645618
Salinópolis,BR,-0.61,-47.36,78.4,84,11.18,10,1597645618
Luang Prabang,LA,19.89,102.13,76.55,86,1.12,100,1597645489
Tena,EC,-0.98,-77.82,66.58,82,4.41,98,1597645619
Carahue,CL,-38.7,-73.17,41.0,100,1.59,90,1597645619
Bariloche,AR,-41.15,-71.31,39.2,64,20.8,40,1597645619
Naberera,TZ,-4.2,36.93,62.4,78,10.25,100,1597645619
Odesa,UA,46.48,30.73,75.2,44,6.02,0,1597645485
Concordia,AR,-31.39,-58.02,46.69,65,4.14,0,1597645620
Stephenville,US,32.22,-98.2,72.0,83,5.82,40,1597645430
Salem,IN,11.65,78.17,87.8,58,5.82,40,1597645520
Marawi,PH,8.0,124.29,84.99,72,5.99,87,1597645377
Nanortalik,GL,60.14,-45.24,42.62,77,4.68,0,1597645621
Conil,FR,44.97,3.72,49.91,88,3.6,65,1597645621
Kemisē,ET,10.72,39.87,75.81,57,2.46,100,1597645621
Jacareacanga,BR,-6.22,-57.75,73.2,46,0.51,51,1597645621
Saint-Leu,RE,-21.15,55.28,77.0,50,4.7,54,1597645621
Berbera,SO,10.44,45.01,93.02,41,18.84,78,1597645622
Sar-e Pul,AF,35.83,66.17,82.94,20,8.97,0,1597645622
Wiang Sa,TH,8.64,99.37,96.8,59,10.29,20,1597645622
Olafsvik,IS,64.89,-23.71,54.3,88,4.25,97,1597645623
Geraldton,AU,-28.77,114.6,64.4,63,17.22,90,1597645623
New Norfolk,AU,-42.78,147.06,57.0,85,1.23,79,1597645623
Butembo,CD,0.15,29.28,66.24,88,1.03,82,1597645623
Santo Antônio do Sudoeste,BR,-26.07,-53.73,55.24,90,2.77,10,1597645624
Mago,RU,53.25,140.18,56.75,86,3.0,100,1597645624
Kavaratti,IN,10.57,72.64,84.2,74,6.93,20,1597645624
Khani,GE,41.96,42.96,75.2,69,5.82,54,1597645625
Severnyy-Kospashskiy,RU,59.09,57.8,51.01,99,1.01,100,1597645625
Vila,PT,42.03,-8.16,66.99,100,9.17,90,1597645625
Itoman,JP,26.12,127.67,91.0,66,11.41,40,1597645625
Luganville,VU,-15.53,167.17,78.8,88,1.12,75,1597645626
Togur,RU,58.36,82.83,69.37,58,6.71,88,1597645626
São José da Coroa Grande,BR,-8.9,-35.15,73.78,85,10.29,40,1597645627
Libertador General San Martín,AR,-23.81,-64.79,53.01,74,2.8,0,1597645627
Nantucket,US,41.28,-70.1,62.6,93,29.97,90,1597645595
Isangel,VU,-19.55,169.27,77.0,83,12.46,40,1597645627
Birjand,IR,32.87,59.22,91.4,13,4.12,0,1597645628
Richards Bay,ZA,-28.78,32.04,60.94,63,2.26,80,1597645628
Aykhal,RU,66.0,111.5,68.0,32,8.95,67,1597645628
Vardø,NO,70.37,31.11,44.6,87,23.04,75,1597645380
Port Lincoln,AU,-34.73,135.87,60.46,62,18.77,27,1597645595
Port Hardy,CA,50.7,-127.42,59.0,93,3.36,20,1597645629
Port Blair,IN,11.67,92.75,85.89,71,14.54,76,1597645330
San Quintín,MX,30.48,-115.95,74.01,71,5.46,0,1597645629
Hirado,JP,33.36,129.55,93.2,59,3.36,20,1597645630
Alice Springs,AU,-23.7,133.88,89.6,15,19.46,0,1597645630
Kidodi,TZ,-7.6,37.0,76.62,67,2.86,93,1597645630
Samarai,PG,-10.62,150.67,77.2,72,12.1,16,1597645357
Tasiilaq,GL,65.61,-37.64,51.8,76,12.75,100,1597645631
Kongolo,CD,-5.38,27.0,82.29,31,0.34,71,1597645631
Rawson,AR,-43.3,-65.1,42.48,62,16.46,0,1597645631
Nehe,CN,48.48,124.83,70.14,87,10.56,100,1597645557
Batticaloa,LK,7.71,81.69,87.87,55,4.81,99,1597645632
Chui,UY,-33.7,-53.46,44.69,76,9.22,0,1597645632
Nyurba,RU,63.28,118.33,65.62,40,5.44,17,1597645632
Darłowo,PL,54.42,16.41,68.0,55,7.0,5,1597645632
Ostrovnoy,RU,68.05,39.51,45.52,84,17.34,80,1597645633
Lavrentiya,RU,65.58,-171.0,51.75,70,6.24,100,1597645633
Arman',RU,59.7,150.17,60.71,67,3.91,100,1597645633
Anadyr,RU,64.75,177.48,57.2,71,6.71,40,1597645634
Haines Junction,CA,60.75,-137.51,49.28,83,3.4,100,1597645634
George Town,MY,5.41,100.34,87.8,70,5.82,20,1597645582
Yulara,AU,-25.24,130.99,82.4,28,18.34,29,1597645634
Yeruham,IL,30.99,34.93,82.99,55,1.01,0,1597645635
La Tuque,CA,47.43,-72.78,57.42,95,4.9,40,1597645635
Provideniya,RU,64.38,-173.3,50.0,76,8.95,90,1597645635
Pinega,RU,64.7,43.39,55.31,52,4.32,6,1597645355
Qaqortoq,GL,60.72,-46.03,44.6,70,4.7,0,1597645635
Saldanha,ZA,-33.01,17.94,37.4,93,3.36,47,1597645636
Ullapool,GB,57.9,-5.16,57.99,84,5.01,33,1597645636
Hervey Bay,AU,-25.3,152.85,73.4,27,9.17,0,1597645636
Bereda,ES,43.27,-7.54,63.0,95,8.99,100,1597645637
Fortuna,US,40.6,-124.16,60.01,92,2.33,87,1597645637
Hamilton,US,39.18,-84.53,68.0,93,3.18,1,1597645342
Jalu,LY,29.03,21.55,80.56,54,10.42,7,1597645637
Tokur,RU,53.13,132.9,56.26,76,2.04,100,1597645637
Sobolevo,RU,54.43,31.9,66.72,78,8.68,0,1597645638
Paamiut,GL,61.99,-49.67,46.38,56,7.58,0,1597645638
High Rock,BS,26.62,-78.28,83.91,74,10.16,0,1597645638
Mahudha,IN,22.82,72.93,84.2,89,3.36,90,1597645638
Marsh Harbour,BS,26.54,-77.06,83.28,73,9.66,12,1597645639
Kyrenia,CY,35.34,33.32,91.4,17,9.17,0,1597645639
Ingham,US,42.6,-84.38,62.01,93,6.13,1,1597645639
